video,scene_idx,t_start,t_end,sentence,attributes,actions,interactions
Abuse001_x264,0,0.0,5.3,"A woman with short hair, slightly fat, wearing a white top and black pants stood in front of the table, picked up a book from the table, and opened it to read",female;short hair;slightly fat,picking up a book;opening it to read,table
Abuse001_x264,1,7.0,8.5,A man wearing a white shirt and black pants entered the house and walked towards the short-haired and fat woman in front who was reading a book.,male;white shirt;black pants,entered the house;walked towards,short-haired and fat woman
Abuse001_x264,2,7.2,8.5,A man wearing a black shirt and black pants entered the house and walked towards the short-haired and fat woman in front who was reading a book.,male;black shirt;black pants,entered the house;walked towards,short-haired and fat woman
Abuse001_x264,3,8.2,8.9,"A man wearing a white shirt and black pants approached a short-haired, fat woman wearing a white shirt and black pants. When the woman was not paying attention, the man suddenly pulled out a piece of red cloth from the left side of the woman's body, then turned and ran away.",,,
Abuse001_x264,4,8.9,11.2,"A man in black clothes approached a short-haired, fat woman wearing a white top and black pants. When the woman turned back to the right, he punched the woman in the head and ran out. .",male;black clothes,punched the woman in the head,woman
Abuse001_x264,5,8.9,11.2,"The woman fell to the ground in pain, and the book in her hand fell to the ground when she fell. At the same time, she knocked the red wooden table in front of her crookedly. There were three things on the table.",wooden;red,fell;knocked,table;book;woman
Abuse001_x264,6,11.3,13.3,"A woman with short hair and a fat figure wearing a white top and black pants fell to the ground, raised her right hand to touch her forehead, and hit her head on the wooden table leg.",female;short hair;fat figure,fell to the ground;raised her right hand to touch her forehead;hit her head on the wooden table leg,table leg
Abuse001_x264,7,15.2,18.9,"A woman with short hair, slightly fat, wearing a white top and black pants fell to the ground. She touched her forehead with her right hand and looked towards the direction of entering the house. She retracted her left leg, supported her left hand on the ground, and held her forehead with her right hand. Upper body.",unknown;short hair;slightly fat;white top;black pants,fell to the ground,house
Abuse001_x264,8,19.7,25.4,"A woman with short hair, slightly fat, wearing a white top and black pants is sitting on the ground, leaning on the ground with her left hand, her right hand dropped from her head and placed on the knee of her right leg, her right leg is bent, she turns her head and kicks with her left leg Kneel down on the ground, stand up with your right hand on the ground.",unknown;short hair;slightly fat,kneel down;stand up,ground
Abuse002_x264,0,0.0,2.3,"At an intersection with smooth traffic, the green light is on, and the vehicles on the opposite side drive out at the same time. There are many white cars and many passers-by on bicycles and electric vehicles.",smooth;traffic;green light;vehicles on the opposite side;driving out at the same time;many white cars;many passers-by on bicycles and electric vehicles,none,none
